"PartID" "Trial" "Length" "VerbType" "Item" "Age" "Gender" "Distractor" "Subject" "Agent" "Patient" "LC" "LCC" "PC" "PCC"
"SPA_P2_L1R2" 8 "Long" "NPred" 8 24 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P2_L1R2" 9 "Long" "Pred" 7 24 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P2_L1R2" 10 "Short" "Pred" 11 24 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P2_L1R2" 11 "Short" "NPred" 12 24 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P2_L1R2" 12 "Short" "Pred" 10 24 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P20_L2R2" 1 "Short" "NPred" 8 21 "F" 0 1 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P20_L2R2" 2 "Short" "Pred" 7 21 "F" 0 1 0 0 -0.5 -0.5 0.5 0.5
"SPA_P20_L2R2" 3 "Long" "Pred" 12 21 "F" 1 0 0 0 0.5 0.5 0.5 0.5
"SPA_P20_L2R2" 4 "Long" "Pred" 2 21 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P20_L2R2" 5 "Long" "NPred" 16 21 "F" 1 1 0 0 0.5 0.5 -0.5 -0.5
"SPA_P20_L2R2" 6 "Long" "Pred" 9 21 "F" 0 1 0 0 0.5 0.5 0.5 0.5
"SPA_P20_L2R2" 7 "Short" "NPred" 15 21 "F" 0 1 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P20_L2R2" 8 "Long" "NPred" 10 21 "F" 0 1 0 0 0.5 0.5 -0.5 -0.5
"SPA_P20_L2R2" 9 "Short" "Pred" 6 21 "F" 0 1 0 0 -0.5 -0.5 0.5 0.5
"SPA_P20_L2R2" 10 "Long" "NPred" 11 21 "F" 1 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P20_L2R2" 11 "Short" "Pred" 3 21 "F" 0 1 0 1 -0.5 -0.5 0.5 0.5
"SPA_P20_L2R2" 12 "Short" "NPred" 5 21 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P21_L3R1" 1 "Short" "Pred" 2 22 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
"SPA_P21_L3R1" 2 "Short" "NPred" 10 22 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P21_L3R1" 3 "Short" "NPred" 11 22 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P21_L3R1" 4 "Long" "Pred" 15 22 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P21_L3R1" 5 "Short" "NPred" 16 22 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P21_L3R1" 6 "Long" "NPred" 6 22 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P21_L3R1" 7 "Long" "Pred" 8 22 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P21_L3R1" 8 "Long" "NPred" 7 22 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P21_L3R1" 9 "Long" "NPred" 3 22 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P21_L3R1" 10 "Short" "Pred" 9 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P21_L3R1" 11 "Long" "Pred" 5 22 "F" 0 0 0 0 0.5 0.5 0.5 0.5
"SPA_P21_L3R1" 12 "Short" "Pred" 12 22 "F" 0 1 0 1 -0.5 -0.5 0.5 0.5
"SPA_P22_L3R2" 1 "Long" "Pred" 15 22 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P22_L3R2" 2 "Short" "Pred" 12 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P22_L3R2" 3 "Short" "NPred" 16 22 "F" 0 0 1 0 -0.5 -0.5 -0.5 -0.5
"SPA_P22_L3R2" 4 "Long" "NPred" 6 22 "F" 1 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P22_L3R2" 5 "Long" "Pred" 5 22 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P22_L3R2" 6 "Short" "Pred" 2 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P22_L3R2" 7 "Short" "NPred" 10 22 "F" 0 0 0 1 -0.5 -0.5 -0.5 -0.5
"SPA_P22_L3R2" 8 "Long" "Pred" 8 22 "F" 0 0 0 1 0.5 0.5 0.5 0.5
"SPA_P22_L3R2" 9 "Short" "NPred" 11 22 "F" 1 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P22_L3R2" 10 "Long" "NPred" 7 22 "F" 0 0 0 1 0.5 0.5 -0.5 -0.5
"SPA_P22_L3R2" 11 "Long" "NPred" 3 22 "F" 1 0 1 0 0.5 0.5 -0.5 -0.5
"SPA_P22_L3R2" 12 "Short" "Pred" 9 22 "F" 0 0 0 1 -0.5 -0.5 0.5 0.5
"SPA_P23_L4R1" 1 "Long" "NPred" 2 20 "F" 0 0 0 0 0.5 0.5 -0.5 -0.5
"SPA_P23_L4R1" 2 "Short" "NPred" 7 20 "F" 0 0 0 0 -0.5 -0.5 -0.5 -0.5
"SPA_P23_L4R1" 3 "Short" "Pred" 8 20 "F" 0 0 0 0 -0.5 -0.5 0.5 0.5
