"PartID" "Trial" "VerbType" "Item" "Age" "Gender" "EV" "Distractor" "Subject" "Agent" "Patient" "PC" "PCC" "AC" "EVC"
"P16_LBR2_C" 10 "NPred" 11 51 "M" 18 0 0 1 0 -0.5 -0.484848484848485 0.55681818181818 -6.01136363636364
"P16_LBR2_C" 11 "Pred" 10 51 "M" 18 0 0 1 0 0.5 0.515151515151515 0.55681818181818 -6.01136363636364
"P17_LAR1_C" 1 "NPred" 8 39 "F" 20 0 0 0 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 2 "Pred" 15 39 "F" 20 0 1 0 0 0.5 0.515151515151515 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 4 "NPred" 10 39 "F" 20 0 0 0 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 5 "NPred" 16 39 "F" 20 0 0 1 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 6 "NPred" 6 39 "F" 20 0 0 0 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 7 "Pred" 9 39 "F" 20 0 0 0 0 0.5 0.515151515151515 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 8 "Pred" 5 39 "F" 20 0 0 0 0 0.5 0.515151515151515 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 9 "NPred" 3 39 "F" 20 0 0 0 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 10 "Pred" 11 39 "F" 20 0 0 0 0 0.5 0.515151515151515 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 11 "Pred" 7 39 "F" 20 0 1 0 0 0.5 0.515151515151515 -11.4431818181818 -4.01136363636364
"P17_LAR1_C" 12 "NPred" 12 39 "F" 20 0 0 1 0 -0.5 -0.484848484848485 -11.4431818181818 -4.01136363636364
"P18_LBR1_C" 1 "NPred" 2 49 "M" 24 0 1 0 1 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 2 "Pred" 12 49 "M" 24 0 0 0 0 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 3 "NPred" 7 49 "M" 24 0 0 1 0 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 4 "NPred" 15 49 "M" 24 0 1 0 0 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 5 "Pred" 6 49 "M" 24 1 0 0 1 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 6 "Pred" 3 49 "M" 24 0 0 1 0 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 7 "Pred" 16 49 "M" 24 1 0 0 0 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 8 "NPred" 5 49 "M" 24 0 1 1 0 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 9 "NPred" 9 49 "M" 24 0 0 0 1 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 10 "Pred" 10 49 "M" 24 0 0 0 0 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 11 "Pred" 8 49 "M" 24 0 0 0 0 0.5 0.515151515151515 -1.44318181818182 -0.0113636363636367
"P18_LBR1_C" 12 "NPred" 11 49 "M" 24 0 0 0 0 -0.5 -0.484848484848485 -1.44318181818182 -0.0113636363636367
"P19_LAR2_C" 1 "Pred" 9 41 "M" 18 0 0 1 0 0.5 0.515151515151515 -9.44318181818182 -6.01136363636364
"P19_LAR2_C" 2 "NPred" 6 41 "M" 18 0 1 1 0 -0.5 -0.484848484848485 -9.44318181818182 -6.01136363636364
"P19_LAR2_C" 3 "NPred" 10 41 "M" 18 0 0 0 0 -0.5 -0.484848484848485 -9.44318181818182 -6.01136363636364
"P19_LAR2_C" 4 "NPred" 16 41 "M" 18 0 0 1 0 -0.5 -0.484848484848485 -9.44318181818182 -6.01136363636364
